reading_id,mine_id,sensor_type,value,unit,recorded_at
1,1,dust,7.3,mg/m3,2026-09-06T14:53:00+00:00
2,1,dust,7.2,mg/m3,2026-09-06T20:32:00+00:00
3,1,dust,2.5,mg/m3,2026-09-07T02:57:00+00:00
4,1,dust,8.6,mg/m3,2026-09-07T08:39:00+00:00
5,1,dust,5.0,mg/m3,2026-09-07T14:59:00+00:00
6,1,dust,9.1,mg/m3,2026-09-07T20:41:00+00:00
7,1,dust,6.5,mg/m3,2026-09-08T02:32:00+00:00
8,1,dust,4.4,mg/m3,2026-09-08T09:00:00+00:00
9,1,dust,8.1,mg/m3,2026-09-08T14:23:00+00:00
10,1,dust,5.2,mg/m3,2026-09-08T20:19:00+00:00
11,1,dust,8.9,mg/m3,2026-09-09T02:15:00+00:00
12,1,dust,7.6,mg/m3,2026-09-09T08:37:00+00:00
13,1,gas,10.6,ppm,2026-09-06T14:47:00+00:00
14,1,gas,32.6,ppm,2026-09-06T20:56:00+00:00
15,1,gas,37.7,ppm,2026-09-07T02:31:00+00:00
16,1,gas,12.5,ppm,2026-09-07T08:21:00+00:00
17,1,gas,41.5,ppm,2026-09-07T14:52:00+00:00
18,1,gas,25.0,ppm,2026-09-07T20:46:00+00:00
19,1,gas,52.3,ppm,2026-09-08T02:40:00+00:00
20,1,gas,24.8,ppm,2026-09-08T08:34:00+00:00
21,1,gas,36.0,ppm,2026-09-08T14:33:00+00:00
22,1,gas,22.7,ppm,2026-09-08T20:34:00+00:00
23,1,gas,5.6,ppm,2026-09-09T02:44:00+00:00
24,1,gas,43.8,ppm,2026-09-09T08:48:00+00:00
25,1,temperature,42.2,C,2026-09-06T14:32:00+00:00
26,1,temperature,42.0,C,2026-09-06T20:24:00+00:00
27,1,temperature,38.2,C,2026-09-07T02:46:00+00:00
28,1,temperature,36.6,C,2026-09-07T08:36:00+00:00
29,1,temperature,41.8,C,2026-09-07T14:57:00+00:00
30,1,temperature,33.5,C,2026-09-07T20:55:00+00:00
31,1,temperature,26.2,C,2026-09-08T02:32:00+00:00
32,1,temperature,34.6,C,2026-09-08T08:46:00+00:00
33,1,temperature,37.6,C,2026-09-08T14:25:00+00:00
34,1,temperature,28.3,C,2026-09-08T20:19:00+00:00
35,1,temperature,40.5,C,2026-09-09T02:50:00+00:00
36,1,temperature,40.9,C,2026-09-09T08:48:00+00:00
37,2,dust,2.7,mg/m3,2026-09-06T14:38:00+00:00
38,2,dust,7.3,mg/m3,2026-09-06T20:20:00+00:00
39,2,dust,7.1,mg/m3,2026-09-07T02:52:00+00:00
40,2,dust,5.5,mg/m3,2026-09-07T08:21:00+00:00
41,2,dust,6.2,mg/m3,2026-09-07T14:17:00+00:00
42,2,dust,6.5,mg/m3,2026-09-07T20:38:00+00:00
43,2,dust,6.2,mg/m3,2026-09-08T02:45:00+00:00
44,2,dust,6.3,mg/m3,2026-09-08T08:52:00+00:00
45,2,dust,4.8,mg/m3,2026-09-08T14:19:00+00:00
46,2,dust,2.3,mg/m3,2026-09-08T20:21:00+00:00
47,2,dust,8.6,mg/m3,2026-09-09T02:46:00+00:00
48,2,dust,3.2,mg/m3,2026-09-09T08:45:00+00:00
49,2,gas,40.3,ppm,2026-09-06T14:15:00+00:00
50,2,gas,38.0,ppm,2026-09-06T20:39:00+00:00
51,2,gas,29.5,ppm,2026-09-07T02:43:00+00:00
52,2,gas,20.9,ppm,2026-09-07T08:33:00+00:00
53,2,gas,41.8,ppm,2026-09-07T14:51:00+00:00
54,2,gas,25.1,ppm,2026-09-07T20:44:00+00:00
55,2,gas,14.5,ppm,2026-09-08T02:17:00+00:00
56,2,gas,8.3,ppm,2026-09-08T08:54:00+00:00
57,2,gas,20.0,ppm,2026-09-08T14:56:00+00:00
58,2,gas,15.8,ppm,2026-09-08T20:41:00+00:00
59,2,gas,52.8,ppm,2026-09-09T02:56:00+00:00
60,2,gas,36.5,ppm,2026-09-09T08:56:00+00:00
61,2,temperature,22.3,C,2026-09-06T14:38:00+00:00
